korean,english
전화 하다,To call (on the phone) (V)
주부,Housewife
회사원,Office worker
경찰,Police
간호사,Nurse
뭐 하세요?,What do you do? (For a living)
요리사,Cook / Chef
가수,Singer
의사,Doctor
할아버지,Grandfather
할머니,Grandmother
데이트,Date
이상하다,To be strange (V)
티셔츠,T-Shirt
블라우스,Blouse
입어,To wear / To put on (clothes)
벗어,To take off (clothes)
냄새,To smell
닦았어,To wipe (with a cloth) (past tense)
이,Teeth
세수했어,To wash one's face (past tense)
씻었어,To wash / To wash up (past tense)
이러났어,To wake up (past tense)
갔어,To go (past tense)
잤어,To sleep (past tense)
왔어,To come (past tense)
수업,Class
시간,Time
늦게,Late
아무튼,Anyway / Anyhow
모기,Mosquito
모기약,Insecticide
가려워,To be itchy
뿌리다,To spray (V)
잡다,To catch (V)
누구?,Who?
회사,Company
요금,Price / Fee
카드,Card / Credit Card
들리다,To hear (V)
들다,To listen (V)
계산서,Check / Bill
피곤하다,To be tired (V)
안마하다,To massage (V)
용돈,Allowance / Spending Money
멀랐어,To not know (past tense)
볼써,Already
썼어,To use / To spend (past tense)
다,All / Everything
잠깐!,Just a moment! / Wait!
한테,Towards (a person)
거야 / 거예요,(Future tense suffix)
전화하세요!,Please call (me)!
들어오세요,Please come in!
잠깐만요!,Just a moment!
지 마/세요,(Negative imperative suffix)
번호,Number
우산,Umbrella
같이,Together
불만,Complaint
차,Car
비가 오다,To rain (V)
방,Room
부엌,Kitchen
새,New
전망,View / Landscape
안,Inside
정도,Approximately / About
며칠 ...?,How many days ...?
명,People counter (non-honorific)
간식,Snack
빵,Bread
나머지,The rest (of the whole)
분,People counter (honorific)
도서관,Library
소설,Novel
잡지,Magazine
다음에,Next time
먹었어,To eat (past tense)
갔어,To go (past tense)
왔어,To come (past tense)
읽었어,To read (past tense)
만났어,To meet (past tense)
휴가,Holiday / Day off (from work)
다음 달,Next month
여행하세요,To travel
동안,While
이주일,Two weeks
비행기표,Plane ticket
방학,Holiday (from school)
갈 거예요,To go (future tense)
할 거예요,To do (future tense)
살 거예요,To buy (future tense)
있을 거예요,To be (future tense)
영화,Movie / Film
갈래?,Shall we go?
살래?,Shall we buy?
먹을래?,Shall we eat?
마실래?,Shall we drink?
거,Thing / Object
사진,Picture / Photo
내 거,Mine
니 거,Yours
누구 거?,Whose?
맞아요!,That's correct! (To agree)
아니예요!,That's not true! (To disagree)
연기,Acting
춤,Dancing
운전,Driving
노래,Singing
술,Alcohol
... 잘 해요,I can do ... (Good at)
... 못 해요,I can't do ... (Not good at)
호주,Australia
고기,Meat
어디어디?,Which places?
누구누구?,Which people?
일찍,Early
아직,Not yet / Still
밖,Outside
나갈 거예요,To go out (future tense)
올 거예요,To come (future tense)
문,Door
핸드폰,Mobile Phone
나와!,Come out!
잠궜어,To lock (past tense)
껐어,To turn off (past tense)
챙겼어,To take / not forget (past tense)
지갑,Wallet / Purse
약속,Appointment
과속,Speeding
면허증,Driver's License
그래서 (?),So (So?)
과자,Snacks
병원,Hospital
음료수,Beverage / Drink
과일,Fruit
만화책,Comic Book
코드,Cord / Cable
갑자기,Suddenly
다시,Again / Once Again
고장났어,To break / be broken (past tense)
근데,But
꺼졌어,To be off / shut down (past tense)
되고 싶어요,Want to become
자고 싶어요,Want to sleep
가고 싶어요,Want to go
볼까요?,Shall we watch?
재미있을까요?,Will it be fun?
공상 과학,Science Fiction
있습니다,To have / exist (very formal)
손님,Customer / Guest
겨울,Winter
없습니다,To not have / not exist (very formal)
북한,North Korea
도,Province
산,Mountain
어디 에 있어요?,Where is it?
퇴근해요,To leave work (present tense)
출근해요,To go to work (present tense)
사장님,President / CEO
남자,Male / Man / Boy
저 ...,That ... (Visible object)
이 ...,This ...
그 ...,That ... (Non-visible object)
... 누구예요?,Who is ...?
누구세요?,Who are you?
이거 뭐예요?,What is this? (Formal)
이거 뭐야?,What is this? (Informal)
감자 튀김,French fries
... 어떻게 해요?,How do you do ... ?
이렇게!,Like this!
... 어떻게 먹어요?,How do you eat ... ?
... 어떻게 가요?,How do you go to ... ?
치즈,Cheese
요구르트,Yoghurt
뭐 마실래?,What would you like to drink?
줄래요,Would like to give
잘래요,Would like to sleep
볼래요,Would like to watch
갈래요,Would like to go
할래요,Would like to do
먹을래요,Would like to eat
외국 사람,Foreigner
한국말,Korean Language
... 잘 못해요,Not very good at doing ...
... 못해요,Can't do ...
... 잘 해요,Very good at ...
죄송 합니다,I'm sorry (formal)
공부 잘 못해요,Not very good at studying
운전 못해요,I can't drive
... 가 봐요!,Try going ...!
... 먹어 봐요!,Try eating ...!
... 해 봐요!,Try doing ...!
... 얼마예요?,How much is ...?
버스,Bus
기차,Train
지하철,Subway
가야 되요,Have to go
해야 되요,Have to do
공부해야 되요,Have to study
와야 되요,Have to come
괜찮아서 ...,Because it's ok ...
늦어서 ...,"I'm late, so ..."
비가 와서 ...,"It's raining, so ..."
돈 없어서 ...,"I have no money, so ..."
안녕히 주무세요,Good night (formal)
잘 자,Good night (informal)
저 갈게요,Goodbye! (I am going)
오랜만이에요!,It's been a long time!
잘 지내셨어요?,Have you been good?
반가워요!,Nice to see you!
쉬워요,Easy
어려워요,Hard / Difficult
수업,Class (academic)
교수님,Professor (not teacher)
우리,We / Us / Our
내 거,Mine (informal)
제 거,Mine (formal)
니 거,Yours
내 거야,Is Mine (informal)
니 거예요,Is Yours (formal)
누구 거?,Whose?
기다리지 마세요!,Don't wait!
전화하지 마세요!,Don't call!
가지 마세요!,Don't go!
오지 마세요!,Don't come!
자전거,Bicycle
운전하다,To drive (V)
해봐!,Do it! / Try! / Show me!
다쳤어요,To get hurt/injured (past tense)
할 수 있어요!,I can do it!
할 수 없어요!,I can't do it!
나 자전거 탈 수 있어요,I can ride a bicycle
갈 수 없어요!,I can't go!
존댄말,Formal Language
당신,You (Formal)
그,He
그녀,She
그들,They
당신들,You Plural (Formal)
은 / 는,Topic Marking Particles
가 / 이,Subject Marking Particles
을 / 를,Object Marking Particles
식구,Family Member
동생,Younger Sibling
티비,TV
반찬,Side Dish
... 들,Plural suffix
자리,Seat / Table / Position
이것들,These
저것들,Those
옷,Clothes
신발,Shoes
의,Possessive Marking Adjective
운동,Exercise / Sports
농구,Basketball
야구,Baseball
수영,Swimming
수영장,Swimming Pool
좋아! 좋아!,Sounds good! (Total Agreement)
와 / 과,And
오전,A.M. (Time)
오후,P.M. (Time)
정도,About / Around / O'clock
걸렸어,To take time (past tense)
로 / 으로,Method Suffix
총,Total
당,"Per (person, item)"
요즘,Nowadays
부인,Wife (normal)
